,LOC,ZC,CITY,state,LAT,LONG,num_calls,city_1
615,Club/Bar/Restaurant,10026,NEW YORK, NY,40.80635431,-73.9539551,0,MANHATTAN
616,Club/Bar/Restaurant,10028,NEW YORK, NY,40.77666244,-73.95554624,0,MANHATTAN
617,Club/Bar/Restaurant,10019,NEW YORK, NY,40.76045668,-73.98373097,0,MANHATTAN
618,Club/Bar/Restaurant,10013,NEW YORK, NY,40.71639867,-74.00964963,0,MANHATTAN
619,Club/Bar/Restaurant,10301,STATEN ISLAND, NY,40.61898465,-74.10608833,0,STATEN ISLAND
620,Club/Bar/Restaurant,10029,NEW YORK, NY,40.79564993,-73.9367025,0,MANHATTAN
621,Club/Bar/Restaurant,10033,NEW YORK, NY,40.85465602,-73.93704036,0,MANHATTAN
622,Club/Bar/Restaurant,11234,, NY,40.61897721,-73.92657171,0,BROOKLYN
623,Club/Bar/Restaurant,10031,NEW YORK, NY,40.82382294,-73.94428864,0,MANHATTAN
624,Club/Bar/Restaurant,10014,NEW YORK, NY,40.73524167,-74.00606204,0,MANHATTAN
625,Club/Bar/Restaurant,11374,REGO PARK, NY,40.71586504,-73.86102109,0,QUEENS
626,Club/Bar/Restaurant,10014,NEW YORK, NY,40.73815366,-74.0090249,0,MANHATTAN
627,Club/Bar/Restaurant,10002,NEW YORK, NY,40.72100139,-73.9878785,0,MANHATTAN
628,Club/Bar/Restaurant,10040,NEW YORK, NY,40.85734316,-73.93231304,0,MANHATTAN
629,Club/Bar/Restaurant,11206,, NY,40.69959035,-73.94423377,0,BROOKLYN
630,Club/Bar/Restaurant,10012,NEW YORK, NY,40.72475941,-73.99331115,0,MANHATTAN
631,Club/Bar/Restaurant,11211,, NY,40.71577141,-73.9588695,0,BROOKLYN
632,Club/Bar/Restaurant,11212,, NY,40.6571417,-73.91980078,0,BROOKLYN
633,Club/Bar/Restaurant,11377,WOODSIDE, NY,40.75317252,-73.90498435,0,QUEENS
634,Club/Bar/Restaurant,11237,, NY,40.70896635,-73.92472682,0,BROOKLYN
635,Club/Bar/Restaurant,10019,NEW YORK, NY,40.76391016,-73.98865404,0,MANHATTAN
636,Club/Bar/Restaurant,11249,, NY,40.71093446,-73.96513432,0,BROOKLYN
637,Club/Bar/Restaurant,10032,NEW YORK, NY,40.83853602,-73.94159476,0,MANHATTAN
638,Club/Bar/Restaurant,11234,, NY,40.63249702,-73.93392817,0,BROOKLYN
639,Club/Bar/Restaurant,11103,ASTORIA, NY,40.76502017,-73.91738937,0,QUEENS
640,Club/Bar/Restaurant,11211,, NY,40.71138031,-73.94674525,0,BROOKLYN
641,Club/Bar/Restaurant,10013,NEW YORK, NY,40.7188309,-73.99755053,0,MANHATTAN
642,Club/Bar/Restaurant,10009,NEW YORK, NY,40.72409376,-73.98070211,0,MANHATTAN
643,Club/Bar/Restaurant,11204,, NY,40.61361381,-73.9810402,0,BROOKLYN
644,Club/Bar/Restaurant,11238,, NY,40.68334712,-73.96621238,0,BROOKLYN
645,Club/Bar/Restaurant,10025,NEW YORK, NY,40.79365992,-73.97066719,0,MANHATTAN
646,Club/Bar/Restaurant,10014,NEW YORK, NY,40.7339463,-74.00048351,0,MANHATTAN
647,Club/Bar/Restaurant,10018,NEW YORK, NY,40.75667818,-73.9943511,0,MANHATTAN
648,Club/Bar/Restaurant,10031,NY, NY,40.82103435,-73.95724362,0,MANHATTAN
649,Club/Bar/Restaurant,10009,NEW YORK, NY,40.72440629,-73.97860951,0,MANHATTAN
650,Club/Bar/Restaurant,11215,, NY,40.6658646,-73.98904921,0,BROOKLYN
651,Club/Bar/Restaurant,10002,NEW YORK, NY,40.7199886,-73.98809514,0,MANHATTAN
652,Club/Bar/Restaurant,11417,OZONE PARK, NY,40.67187351,-73.8431061,0,QUEENS
653,Club/Bar/Restaurant,10019,NEW YORK, NY,40.76055827,-73.98399084,0,MANHATTAN
654,Club/Bar/Restaurant,10463,BRONX, NY,40.87892449,-73.90478656,0,BRONX
655,Club/Bar/Restaurant,10462,BRONX, NY,40.84649962,-73.86001444,0,BRONX
656,Club/Bar/Restaurant,11206,, NY,40.70066107,-73.92966987,0,BROOKLYN
657,Club/Bar/Restaurant,10021,NEW YORK, NY,40.76838707,-73.95558787,0,MANHATTAN
